val_loss	val_acc	train_loss	train_acc
0.3685493379423063	0.8732876712328766	0.5709857687037042	0.7988055244494214
0.3598650595913195	0.8672945205479452	0.39273813341303787	0.8611422172452408
0.30704074363185935	0.8886986301369862	0.35178838776491966	0.8738335199701381
0.26533758313688516	0.8955479452054794	0.32329986939994465	0.8824188129899216
0.29318801834158703	0.8758561643835616	0.32005066638475216	0.8786860768943636
0.2004534814455738	0.9246575342465753	0.2780263313565427	0.8885778275475924
0.19304737816118214	0.9238013698630136	0.254539708140716	0.9016424038820455
0.132052919636034	0.9452054794520548	0.17003454491023298	0.9303844718178425
0.11964683500054764	0.9529109589041095	0.14386474432096236	0.9412094064949608
0.11682879189922385	0.9537671232876712	0.1317031274050107	0.9479283314669653
0.10773575714189712	0.9554794520547945	0.1303944826215094	0.9456886898096305
0.10124296684787698	0.961472602739726	0.11772217933879765	0.9544606196341918
0.10125217535724379	0.9597602739726027	0.10750656921768331	0.9568868980963046
0.16160389005321346	0.9460616438356164	0.1061798759964519	0.9567002612915267
0.09322207839521643	0.9640410958904109	0.0916312063928414	0.9667786487495335
0.08773896955463985	0.9631849315068493	0.0892854329586563	0.9626726390444196
0.09093240760777095	0.961472602739726	0.0865602835028329	0.9688316536020903
0.08761915850312743	0.9657534246575342	0.08125001381208043	0.9703247480403135
0.08647041451441098	0.9691780821917808	0.08541696362639595	0.9658454647256439
0.08901012760319121	0.9683219178082191	0.08393163652551756	0.9634191862635312
0.085483240754637	0.9666095890410958	0.08204552610225756	0.9708846584546472
0.08479013345012926	0.9657534246575342	0.07890346398234323	0.9680851063829787
0.08462712372819038	0.9648972602739726	0.07456457441357722	0.9699514744307578
0.08452225956198288	0.9648972602739726	0.0734203200858224	0.9725643896976484
0.08442497743319159	0.9648972602739726	0.07454618280972505	0.9736842105263158
0.08498053436409937	0.9648972602739726	0.07910798938917821	0.9705113848450915
0.08498456216838261	0.9666095890410958	0.07501347663910721	0.9748040313549832
0.08478954556870134	0.9648972602739726	0.07644618006952221	0.9706980216498694
0.08472184122425236	0.9648972602739726	0.07257604011629623	0.9742441209406495
0.08466543563424725	0.9648972602739726	0.07293550680715141	0.9720044792833147
